Name,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,date_num,date
ID20230117235328391000,1,5,0.00868055555569,23.7709999084,25.8700008392,2.09900093079,24.9062004089,0.802230074711,124.531002045,20140716,2014-07-16
ID20230117235328391000,1,5,0.00868055555569,25.0289993286,27.3199996948,2.29100036621,26.2899997711,0.842697559037,131.449998856,20140717,2014-07-17
ID20230117235328391000,1,5,0.00868055555569,25.4340000153,27.8939990997,2.45999908447,26.8245998383,0.893422982218,134.122999191,20140718,2014-07-18
ID20230117235328391000,1,5,0.00868055555569,24.6529998779,26.6989994049,2.04599952698,25.8495998383,0.721349451297,129.247999191,20140719,2014-07-19
ID20230117235328391000,1,5,0.00868055555569,24.188999176,26.3540000916,2.16500091553,25.4195999146,0.772500742307,127.097999573,20140720,2014-07-20
ID20230117235328391000,1,5,0.00868055555569,23.8630008698,26.361000061,2.49799919128,25.3246002197,0.878305569112,126.623001099,20140721,2014-07-21
ID20230117235328391000,1,5,0.00868055555569,19.5039997101,21.6669998169,2.16300010681,20.7959999084,0.748466513212,103.979999542,20140722,2014-07-22
ID20230117235328391000,1,5,0.00868055555569,22.2740001678,24.25,1.97599983215,23.5251998901,0.689682022147,117.625999451,20140723,2014-07-23
ID20230117235328391000,1,5,0.00868055555569,23.0009994507,25.3910007477,2.390001297,24.4582000732,0.83671755125,122.291000366,20140724,2014-07-24
ID20230117235328391000,1,5,0.00868055555569,17.6189994812,19.4090003967,1.79000091553,18.6245998383,0.672942211748,93.1229991913,20140725,2014-07-25
ID20230117235328391000,1,5,0.00868055555569,20.9290008545,22.8099994659,1.88099861145,21.9809997559,0.709962344187,109.904998779,20140726,2014-07-26
ID20230117235328391000,1,5,0.00868055555569,24.1639995575,26.2770004272,2.11300086975,25.3248001099,0.783782812836,126.624000549,20140727,2014-07-27
ID20230117235328391000,1,5,0.00868055555569,27.6509990692,29.8600006104,2.20900154114,28.8728000641,0.850427273544,144.36400032,20140728,2014-07-28
ID20230117235328391000,1,5,0.00868055555569,25.6189994812,28.2369995117,2.61800003052,27.0189994812,1.03532751015,135.094997406,20140729,2014-07-29
ID20230117235328391000,1,5,0.00868055555569,24.9559993744,27.7390003204,2.78300094604,26.4785999298,1.0304890946,132.392999649,20140730,2014-07-30
ID20230117235328391000,1,5,0.00868055555569,24.4909992218,27.4109992981,2.92000007629,26.0995998383,1.07896777068,130.497999191,20140731,2014-07-31
ID20230117235328391000,1,5,0.00868055555569,24.5550003052,27.1509990692,2.59599876404,26.0001998901,0.956325261424,130.000999451,20140801,2014-08-01
ID20230117235328391000,1,5,0.00868055555569,24.7240009308,27.0949993134,2.37099838257,26.0748004913,0.856964786452,130.374002457,20140802,2014-08-02
ID20230117235328391000,1,5,0.00868055555569,24.3360004425,26.6690006256,2.33300018311,25.5760002136,0.940963410642,127.880001068,20140803,2014-08-03
ID20230117235328391000,1,5,0.00868055555569,25.0499992371,27.3449993134,2.29500007629,26.3401996613,0.839339854749,131.700998306,20140804,2014-08-04
ID20230117235328391000,1,5,0.00868055555569,22.5480003357,24.9559993744,2.4079990387,23.8669998169,0.879144668256,119.334999084,20140805,2014-08-05
ID20230117235328391000,1,5,0.00868055555569,22.8729991913,25.2250003815,2.35200119019,24.2673999786,0.812519766303,121.336999893,20140806,2014-08-06
ID20230117235328391000,1,5,0.00868055555569,22.1420001984,24.7849998474,2.64299964905,23.6055999756,0.940293097218,118.027999878,20140807,2014-08-07
ID20230117235328391000,1,5,0.00868055555569,22.1079998016,24.3819999695,2.27400016785,23.4165996552,0.814787790996,117.082998276,20140808,2014-08-08
ID20230117235328391000,1,5,0.00868055555569,21.2479991913,23.8910007477,2.6430015564,22.7697998047,0.932140789831,113.848999023,20140809,2014-08-09
ID20230117235328391000,1,5,0.00868055555569,22.9610004425,25.4559993744,2.49499893188,24.3444000244,0.912851470138,121.722000122,20140810,2014-08-10
ID20230117235328391000,1,5,0.00868055555569,25.3880004883,27.7059993744,2.31799888611,26.6944000244,0.871935961625,133.472000122,20140811,2014-08-11
